word	distance
incoming	0.545098912627
outparcels	0.0
reallocations	0.0
heavily-fortified	0.0
best-organised	0.0
deferment	0.0
land-for-peace	0.0
waste-disposal	0.0
gag	0.0
woods	0.911542802171
exorcists	0.0
still-formidable	0.0
hanging	0.843204352253
ultimatley	0.0
woody	0.0
trawling	0.0
five-nation	0.0
comically	0.0
co-venture	0.996589103963
sevens	0.0
disobeying	0.0
waste-management	0.0
mutinied	0.0
spot-kicks	0.0
blast-off	0.0
susbsidies	0.0
theoreticals	0.0
originality	0.0
wrong-footed	0.0
mutinies	0.0
unnecessarily	0.0
storiesin	0.0
inflation-free	0.0
patriarchy	0.0
rumbustious	0.0
second-oldest	0.0
passsengers	0.0
well-conducted	0.0
wet-gas	0.0
slothful	0.0
co-operation	0.0
acoustic	0.0
discribed	0.0
stipulate	0.469901457354
pigment	0.0
trimester	0.421547387917
weather-driven	0.0
appropriation	0.0
price-change	0.0
transvestism	0.0
strictest	0.0
non-proportional	0.0
uncoordinated	0.0
task-specific	0.0
acclerating	0.0
elevates	0.0
wooded	0.0
liaisons	0.0
politicial	0.0
broiler	0.0
fous	0.0
wooden	1.15623316632
personal-finance	0.0
wednesday	0.93990929537
sabotaged	0.0
co-leadership	0.0
broiled	0.0
abatements	0.0
delaration	0.0
crotch	0.0
end-of-the-week	0.0
re-locating	0.0
stereotypical	0.466583675433
ultra-violet	0.0
south-west	0.0
festered	0.0
non-compete	0.0
guardsmen	0.0
non-violent	0.0
recourse	0.0
patinets	0.0
gaskets	0.0
lossmaking	0.0
grainy	0.0
adversely	0.547293323101
rgime	0.0
complainers	0.0
shorthaul	0.0
force-fed	0.0
signifiantly	0.0
feasibility	0.588037646682
miniatures	0.0
sooth	0.0
mixed-religion	0.0
seventh-day	0.0
sustaining	0.49644230912
consenting	0.360816904695
reengineering	0.0
periodontitis	0.0
scraped	0.0
consumer-owned	0.0
re-notify	0.0
ffob	0.0
outturns	0.0
dormancy	0.0
errors	0.867778312406
syphon	0.0
tiered	0.0
self-reliant	0.0
nature.	0.0
cooking	0.474712180275
air-to-sea	0.0
melanin	0.0
opportunists	0.0
local-option	0.0
warmongering	0.0
toolmaking	0.0
dicovered	0.0
aggression	0.0
outfielders	0.0
store-brand	0.0
numeral	0.0
pawed	0.0
hallucinating	0.0
succumb	0.0
shocks	0.536218282683
sation	0.0
epidemiology	0.0
crouch	0.0
market-opening	0.0
boil-water	0.0
jubilantly	0.0
zlotys	0.0
mailings	0.535296156305
counter-culture	0.0
brainwashed	0.0
affiliates	0.794587103615
coal-driven	0.0
perfunctorily	0.0
china	1.21008907754
titles.	0.0
accredit	0.0
affiliated	1.18672508608
inverview	0.0
virtuoso	0.0
confronts	0.0
red-tape	0.0
chink	0.0
doldrums	0.444920410352
existentialist	0.0
kids	0.836889068846
uplifting	0.0
non-transit	0.0
blowpipes	0.0
deferring	0.505687590613
grimacing	0.0
period-by-period	0.0
lagest	0.0
adulterous	0.0
lingo	0.0
six-hit	0.0
neurologist	0.0
talbe	0.0
spotty	0.520962042209
climber	0.0
sharemarket	0.0
coalesces	0.0
millimetres	0.0
ganging	0.0
cobblers	0.0
topography	0.0
sub-tribe	0.0
projection	0.606826494736
lengthed	0.0
outraging	0.0
